manufacturer_slice,match
claptop,['claptop']
magos,"['magos', 'tagos', 'mango', 'lagos']"
clark,"['clark', ""clark's"", 'clear']"
nguvu/joxim,"['nguvu/joxim', 'nguvu/joxim/kaya']"
unknown,"['unknown', 'unkown', 'uknown', 'unknowm']"
chongging,"['chongging', 'chonging', 'chongqing']"
liwumi,"['liwumi', 'livumi', 'liuumi']"
goodlife global,"['goodlife global', 'good life global', 'goodlife globalltd.', 'goodlife global ltd']"
shell &vivo,"['shell &vivo', 'shell and vivo']"
kenr,"['kenr', 'kengr', 'ken', 'kengro', 'kenbro']"
kibooko,"['kibooko', 'kiboko', 'kioko', 'booko']"
tsavo,"['tsavo', 'tsvo', 'tsava']"
supaloaf,"['supaloaf', 'supa loaf', 'superloaf']"
ancds,"['ancds', 'bands']"
bukoola,"['bukoola', 'bukola']"
farmline experts,"['farmline experts', 'farmline xperts', 'farmline expert', 'famine expert']"
boost,"['boost', 'booost', 'booster', 'boots']"
captain/jessmart,['captain/jessmart']
keapos,"['keapos', 'keapros', 'keapors', 'keaplos', 'keaphos']"
kacha,"['kacha', 'kachra', 'achal']"
jocavins,['jocavins']
huduma,"['huduma', 'huda', 'duma']"
chain42,"['chain42', 'chain']"
kiboko,"['kiboko', 'kibooko', 'kioko', 'kisoko', 'kiroko']"
maisha aluzinc,"['maisha aluzinc', 'maisha alluzing']"
ayurvet,['ayurvet']
indo,"['indo', 'tindo', 'indox', 'ind', 'indogo']"
foliar,"['foliar', 'folia']"
floral co,"['floral co', 'flora co', 'flora co.', 'flora . co', 'flora.co']"
girls,['girls']
foodmax,"['foodmax', 'food max']"
wool,['wool']
county bakery,['county bakery']
home,"['home', 'hom', 'hoe', 'home g', 'chrome']"
sotik uniforms centerso,"['sotik uniforms centerso', 'sotik uniforms centersso', 'sotik uniforms centers', 'sotik uniforms center', 'sotik uniforms centre']"
theluji,['theluji']
medical remedies ltd,"['medical remedies ltd', 'medico remedies ltd', 'medico remedies ltd.', 'medico remidies ltd', 'indico remedies ltd']"
"arom,s","['arom,s', 'aroms', 'arom,', 'aroms.', ""arom's""]"
jovac,"['jovac', 'jova', 'jojac']"
veg,"['veg', 'vg', 've', 'eg']"
molfix,"['molfix', 'malfix']"
sobon,"['sobon', 'spoon']"
meru multi- purpose,"['meru multi- purpose', 'meru multi-purpose', 'meru multipurpose', 'menu multipurpose', 'meru multipurpose ltd']"
swajo,"['swajo', 'swanjo', 'wajoe']"
mwangaza,"['mwangaza', 'mwanza', 'mwanga']"
spoon,"['spoon', 'sobon']"
sfg,"['sfg', 'sg', 'sf', 'fg']"
field/ nrb,"['field/ nrb', 'field/nrb']"
velvex,"['velvex', 'velvex.', 'valvex', 'elex']"
rossy,"['rossy', 'rosy', 'ross']"
koito japan,"['koito japan', 'koyo japan', 'hkt japan']"
dhahabu.,"['dhahabu.', 'dhahabu']"
fugo-vet,"['fugo-vet', 'fugavet']"
indofood,['indofood']
t-shirt,"['t-shirt', 'tshirt']"
sadak,"['sadak', 'sandak', 'sadaka', 'sandaki', 'sadat']"
crv,"['crv', 'cr-v', 'cr v', 'cv', 'cr']"
bovtants general merchants,"['bovtants general merchants', 'bovtans general merchants', 'bovitans general merchants', 'bovtans general merchant', 'bovtans general mechants']"
treasure,['treasure']
krishna,"['krishna', 'krishini']"
mayford,"['mayford', 'meyford', 'mayor']"
k.kopacabana,['k.kopacabana']
bird,"['bird', 'brd']"
zhejiajinya,['zhejiajinya']
lion,"['lion', 'olion', 'lotion', 'lincon', 'alison']"
cellar,['cellar']
dawaflox,"['dawaflox', 'dawa-flox']"
luron,"['luron', 'duron']"
ceriotti,"['ceriotti', 'zeriotti']"
amashal uganda,"['amashal uganda', 'amarshal uganda ltd', 'amarshal ug']"
guess,"['guess', 'guiness']"
fld,"['fld', 'ld', 'fl', 'fd']"
legano,"['legano', 'legana']"
ippl,"['ippl', 'nipple']"
leskut,"['leskut', 'lesukut', 'lesekut', 'lesut', 'lesuukut']"
holley,['holley']
syphnix,"['syphnix', 'syphinix', 'sphnix', 'spihnix', 'sphynix']"
fada,"['fada', 'faida', 'fainda', 'faidaa']"
"novixa,","['novixa,', 'novixa', 'novixza']"
tuyas,['tuyas']
kwetu diagnostics,"['kwetu diagnostics', 'kwetu diagnostic', 'tulip diagnostics']"
okech,['okech']
goose,['goose']
lydiar,['lydiar']
tafoam,"['tafoam', 'tufoam', 'vita foam', 'foam']"
gad,"['gad', 'glad', 'gd', 'ga', 'ad']"
ballamax,"['ballamax', 'brllamax', 'bellamax', 'bella max', 'vallmax']"
white wash,"['white wash', 'whitewash', 'whute wash', 'white wash etra']"
doms,"['doms', 'domisa']"
dnld,"['dnld', 'dnl']"
cp/sfqz/field,['cp/sfqz/field']
kenn,"['kenn', 'ken', 'kenyan', 'kenton', 'kennth']"
pinnacle,['pinnacle']
xhangjiagang free trade,"['xhangjiagang free trade', 'zhangjiagang free trade']"
venky's,"[""venky's"", 'venkys', 'venkeys']"
paleah,"['paleah', 'palea', 'maleah']"
l.s.e,['l.s.e']
fino-ject,"['fino-ject', 'fino- ject', 'finoject', 'fino-jet', 'fino ject']"
lone,"['lone', 'one']"
jomwan,"['jomwan', 'jomwa', 'joma']"
maximos,"['maximos', 'maxis', 'maxiphos']"
dawa cpm,"['dawa cpm', 'dawa pham']"
original gold,['original gold']
livumi,"['livumi', 'liwumi', 'liuumi']"
room,"['room', 'broom']"
menu cenral,"['menu cenral', 'meru central', 'meru  central']"
teeper,"['teeper', 'teepe', 'teepee', 'tepe', 'teep']"
o.l.l,['o.l.l']
rayan,"['rayan', 'wayan']"
hcsbd,['hcsbd']
tactic,['tactic']
luiwen,"['luiwen', 'ruiwen']"
maganjo,['maganjo']
vand,"['vand', 'van']"
shanghai channelmef mports,"['shanghai channelmef mports', 'shanghai channelmed import', 'shangai channelmed import', 'shanghai channelmed ltd', 'shanghai channelmed']"
smart plus,"['smart plus', 'smartplus', 'smartopus']"
mikeline,"['mikeline', 'midline', 'medline', 'ameline']"
fei yan cosmetics,"['fei yan cosmetics', 'feei yan cosmetics', 'feivyan cosmetics', 'yan cosmetics']"
downy luxrious,['downy luxrious']
org,"['org', 'borg', 'rg', 'og']"
pvt,"['pvt', 'pvet', 'vt', 'pv', 'pt']"
switch,['switch']
jetter,"['jetter', 'jeter']"
pvc-u,"['pvc-u', 'pvc- u']"
plumbing,"['plumbing', 'plumbline']"
legorn,"['legorn', 'leon']"
najunaju,['najunaju']
kornphos,"['kornphos', 'kon phos', 'konn phos']"
lotus,"['lotus', 'lotas']"
crl,"['crl', 'curl', 'carl', 'cr', 'cl']"
robot,"['robot', 'robno']"
frestah,"['frestah', 'fresh']"
petrolium jell,"['petrolium jell', 'petrolium jelly']"
tppl,['tppl']
colours,['colours']
howker,"['howker', 'hawker']"
kemphis,"['kemphis', 'kephis', 'kemps']"
powder,"['powder', 'poweder', 'power']"
v.g.keswhala &son,['v.g.keswhala &son']
beekom,['beekom']
gld,"['gld', 'gold', 'gnld', 'glad', 'ld']"
jikokoa,['jikokoa']
larryke,['larryke']
shohona,"['shohona', 'shoshona', 'shoshana', 'shashona']"
"i,t,o,a","['i,t,o,a']"
njoajo special feeds,"['njoajo special feeds', 'njonjo special feeds', 'njonjo special feed']"
twiger,"['twiger', 'tiger', 'triger', 'twig']"
phizer,"['phizer', 'pfizer']"
peeker,"['peeker', 'peoker', 'pecker']"
novixza,"['novixza', 'novixa', 'novixa,']"
aan,"['aan', 'adan', 'an', 'aa']"
unga fugo,['unga fugo']
loyar,"['loyar', 'loya', 'loyal']"
litmas,"['litmas', 'litmus', 'lima']"
long champ/rhino,['long champ/rhino']
kirimo,"['kirimo', 'kirimi', 'kiriko', 'kilimo', 'iraimo']"
pegler,"['pegler', 'peggler', 'peglar', 'egle']"
joash,"['joash', 'johash', 'jomas']"
e-yasi,['e-yasi']
kexing,"['kexing', 'king']"
haraka-raka co.eau,"['haraka-raka co.eau', 'haraka-raka co. e.a.u', 'haraka-raka co. e.a', 'haraka-raka co.', 'haraka-raka co.(e.a.u)']"
rpl,"['rpl', 'rp', 'pl']"
vivez la beaute',"[""vivez la beaute'""]"
gyson,['gyson']
evorox,['evorox']
goodson,"['goodson', 'goodsons', 'godson', 'goodone', 'good one']"
ran,"['ran', 'rans', 'rana', 'rain', 'gran']"
u v s,['u v s']
fairdeal,"['fairdeal', 'fair deal']"
palv-vet,"['palv-vet', 'pal-vet', 'pal-vets', 'pal- vet', 'pal -vet']"
beckys botique,['beckys botique']
jewelary,"['jewelary', 'jewelry']"
torktop,"['torktop', 'am/torktop']"
rizexin,['rizexin']
kephis,"['kephis', 'kemphis', 'kephos']"
chain36,"['chain36', 'chain']"
jonjem,"['jonjem', 'njonjem', 'jonjemi', 'jojem', 'njonjemi']"
raksharb,"['raksharb', 'raksharab', 'rakshasrab', 'racksharab', 'raksha']"
smartshine,"['smartshine', 'smart shine', 'martine', 'smartphone']"
ratfire,['ratfire']
hrgas,['hrgas']
gat,"['gat', 'gt', 'ga', 'at']"
happys,"['happys', 'happy']"
cpl,"['cpl', 'pl', 'cp', 'cl']"
nkubu youth,['nkubu youth']
"qr/pro-drive,buldog","['qr/pro-drive,buldog']"
g.stop,['g.stop']
jiangsu kangha,"['jiangsu kangha', 'jiangsu kanghua', 'jiangsu shangai', 'jiangsu huangma', 'jiangsu fengshan']"
cpv,"['cpv', 'pv', 'cv', 'cp']"
jonhson & johnson,"['jonhson & johnson', 'johnson& johnson']"
glycel,['glycel']
pishori,"['pishori', 'pushori']"
pudro,"['pudro', 'pudlo']"
captain/t.r,"['captain/t.r', 'captain/t.r.', 'captain/tiger', 'captain/tet', 'captain/rtv']"
crt,"['crt', 'cart', 'rt', 'ct', 'cr']"
rhino/crocodile,"['rhino/crocodile', 'royal/crocodile']"
kortex,"['kortex', 'kotex']"
glyfix,['glyfix']
chong,"['chong', 'hong', 'chona']"
lordex,"['lordex', 'lodex', 'lord']"
stryoplast,"['stryoplast', 'styroplast']"
keds,['keds']
hymch,['hymch']
bingwamix int,"['bingwamix int', 'bingwa mix ltd']"
chendun,['chendun']
hand,"['hand', 'wehand', 'hoĺand', 'holand', 'handle']"
kooper,"['kooper', 'koopers', 'cooper']"
idol,"['idol', 'dol', 'kidole']"
"llc""baltsoil""eu","['llc""baltsoil""eu']"
wa joe,"['wa joe', 'wajoe']"
ngo'ombemix,"[""ngo'ombemix"", ""ng'ombemix"", ""ngo'mbe mix"", ""ng'ombe mix"", 'ngombemix']"
kiboko hybrid,['kiboko hybrid']
juo juice,['juo juice']
oga,"['oga', 'soga', 'og', 'ga']"
comps,"['comps', 'comos']"
u fresh,"['u fresh', 'fresh', 'sunfresh', 'mr fresh', 'la fresh']"
rxd,"['rxd', 'rx', 'rd']"
alliance home furniture,['alliance home furniture']
dezhou weiqian,"['dezhou weiqian', 'dezhou weiqian ltd', 'dezhon weiqian ltd', 'dezhou weiqian import']"
old airport,['old airport']
rainsman,"['rainsman', 'raisman']"
sphynix,"['sphynix', 'sphynx', 'sphnix', 'syphnix', 'spihnix']"
ozone,"['ozone', 'zone']"
yusufu k,['yusufu k']
jinlonic,"['jinlonic', 'jinlong']"
hyticon,['hyticon']
high,"['high', 'hih', 'highem', 'high p', 'high k']"
cstp,['cstp']
ng'ombe,"[""ng'ombe"", 'ngombe', ""ng'ombemi"", 'ngombex', 'ngmbe']"
ledon,"['ledon', 'leon', 'lemon']"
githunguri dairy,"['githunguri dairy', 'githunguri dairy farmers']"
villaon,"['villaon', 'villiaon']"
.lords,"['.lords', 'lords', 'lord']"
kipros,"['kipros', 'kepros', 'kapros', 'ipos']"
supamix layer mash,"['supamix layer mash', 'supamix grower mash']"
twford,"['twford', 'tywford', 'twyford', 'twiford', 'twaford']"
rogod,['rogod']
glory paints,"['glory paints', 'glory paint']"
onre,"['onre', 'one']"
oat,"['oat', 'oats', 'coat', 'at']"
pottam,"['pottam', 'pota']"
dabotik,"['dabotik', 'dabotick']"
xara,['xara']
nice uganda,['nice uganda']
valmax,"['valmax', 'vallmax', 'velmax', 'vanmax']"
dawacef,['dawacef']
decose,['decose']
pp strappings,['pp strappings']
opt,"['opt', 'pt']"
siron,"['siron', 'siltron', 'sirop']"
harsh,"['harsh', 'harish', 'hash', 'marsh', 'hashi']"
windsour,"['windsour', 'windsor', 'windsors', 'winsor']"
vuna,['vuna']
demand mamboleo feeds,"['demand mamboleo feeds', 'demand mamboleo', 'demand mambo leo', 'mamboleo feeds']"
khetshi,['khetshi']
gi.,"['gi.', 'gi']"
gil,"['gil', 'gl', 'gi']"
njonjemi,"['njonjemi', 'njonjem', 'jonjemi', 'njojem', 'jonjem']"
revlon,['revlon']
nguvu/world class/kaya/qlink,['nguvu/world class/kaya/qlink']
sowhat,"['sowhat', 'sowhat 8', 'sowhat 7']"
lugols,"['lugols', 'lugos', 'lugois']"
inerdan,"['inerdan', 'interdan']"
cilco,"['cilco', 'chico']"
quin,"['quin', 'quincy']"
kirinyaka,"['kirinyaka', 'kirinyaga']"
peckal care,['peckal care']
nantong jiangshan,['nantong jiangshan']
koteva,"['koteva', 'coteva']"
flamingo,"['flamingo', 'farming']"
vine,"['vine', 'vinnie', 'vifone', 'bovine']"
kapros,"['kapros', 'keapros', 'kerapros', 'keapross', 'keaphros']"
altatox,['altatox']
fmd,"['fmd', 'fm', 'fd']"
europower,"['europower', 'euro power']"
wazi,['wazi']
gns yen,"['gns yen', 'gns yem']"
xiobshi,"['xiobshi', 'xiaoboshi', 'xiaobosh', 'xiaboshi']"
chidefa,['chidefa']
schils,['schils']
benz,"['benz', 'ben', 'benzol']"
avoca,['avoca']
homegrown,['homegrown']
naivas bakery,['naivas bakery']
lugois,"['lugois', 'lugos', 'lugols']"
honda 125,['honda 125']
arua,"['arua', 'karura', 'arusha']"
prijad,['prijad']
vila premium,"['vila premium', 'bovita premium']"
potter,"['potter', 'pottery']"
can falcon,"['can falcon', 'etc falcon']"
elixir,['elixir']
pal..vet,"['pal..vet', 'palvet', 'pal-vet', 'pal vet']"
shandong qiaochang modern,"['shandong qiaochang modern', 'shandong qiachang modern', 'shangdon qiaochang modern', 'shandong qiaochang modem', 'shandong qiaochang']"
sausage king,['sausage king']
forceup,"['forceup', 'force']"
margarine,"['margarine', 'margaret', 'magazine', 'marine']"
zuhus,['zuhus']
l.e.d,['l.e.d']
firmloop,"['firmloop', 'firstloop']"
fino-jet,"['fino-jet', 'fino-ject', 'finojet', 'fino- ject', 'finoject']"
cotton buds,['cotton buds']
wond,"['wond', 'wondfo', 'wonder']"
g.cock,"['g.cock', 'b.cock', 'cock']"
reddys,"['reddys', 'reddy', 'jeddys', 'reds', 'dr.reddys']"
chloride exide powerlast,['chloride exide powerlast']
frola,"['frola', 'folia']"
astrazeneca,"['astrazeneca', 'astra zeneca', 'astrzeneca', 'astrazeneca ltd']"
rat,"['rat', 'riat', 'ratf', 'rt', 'ra']"
salol,"['salol', 'small']"
tyword,"['tyword', 'tywford', 'tyford', 'twford']"
zheijiang,"['zheijiang', 'zheijaiang', 'zhejiang', 'zheijing', 'zheijang']"
kilimo/farmcare,['kilimo/farmcare']
kiriko,"['kiriko', 'kiroko', 'kirimo', 'kiio']"
chege,['chege']
kingstone,['kingstone']
angle line,['angle line']
creme de beaute,['creme de beaute']
ngombex,"['ngombex', 'ngombe', 'ngombemix', ""ng'ombe"", 'ngmbe']"
southern lemon,['southern lemon']
chickmash,"['chickmash', 'chick mash']"
stakyear,"['stakyear', 'starkyers', 'starkayer', 'starkye']"
topmark,"['topmark', 'topmarks', 'top mark', 'pmark']"
vernish,['vernish']
wega hc,['wega hc']
fabricado por,"['fabricado por', 'fabricado pon', 'fabricado']"
fry,"['fry', 'ry', 'fy', 'fr']"
agroisol,"['agroisol', 'agrisol', 'agro-sol', 'agrisole', 'agri sole']"
pcheng,"['pcheng', 'zcheng']"
apex packers.co,"['apex packers.co', 'apex packers co.', 'apex packers']"
duodip,['duodip']
glypro,['glypro']
ccn yern,['ccn yern']
brllamax,"['brllamax', 'bellamax', 'ballamax', 'bramax', 'bella max']"
glaxosmithkline knockbrack,['glaxosmithkline knockbrack']
lirlle,"['lirlle', 'lirlee']"
solomon,"['solomon', 'solomo']"
duron,"['duron', 'mdron', 'luron', 'dupro', 'dubro']"
nananaki,['nananaki']
turkuaz,['turkuaz']
ord,"['ord', 'orda', 'lord', 'ford', 'rd']"
harry thuku,['harry thuku']
farmland east vetis,"['farmland east vetis', 'freshland east vetis', 'freshlands east vets']"
dairylyx,['dairylyx']
hidges,"['hidges', 'ridges', 'hinges']"
hand saw profesional,['hand saw profesional']
endoco,"['endoco', 'lndoco', 'indoco', 'endo']"
fridah,"['fridah', 'rida']"
mrs maina,"['mrs maina', 'mrs.maina']"
chico,"['chico', 'chic', 'haico', 'cilco', 'choic']"
amy,"['amy', 'my', 'am']"
agha,"['agha', 'agphar']"
bj 100 kevla,['bj 100 kevla']
adpack,['adpack']
fabricado pon,"['fabricado pon', 'fabricado por', 'fabricado spain', 'fabricado']"
liuumi,"['liuumi', 'luumi', 'liwumi', 'livumi']"
ringo,"['ringo', 'ringoz', 'ringoo', 'rigo', 'wingo']"
rieply,"['rieply', 'riply', 'raiply']"
gol,"['gol', 'golf', 'gold', 'goal', 'gl']"
weiqian,['weiqian']
har,"['har', 'hari', 'hara', 'hair', 'hr']"
maulde,"['maulde', 'maulide', 'maulade', 'maulaide', 'maulid']"
kiloss,"['kiloss', 'kiss', 'kilo']"
rokoloch,['rokoloch']
cicero,['cicero']
acirax,['acirax']
finally,"['finally', 'finaliy']"
giro,"['giro', 'gro']"
zipo,"['zipo', 'zip']"
vox.,"['vox.', 'ox.']"
jomas,"['jomas', 'josmas', 'joma', 'jomwa', 'joash']"
data,"['data', 'dat']"
kilomo,"['kilomo', 'kilimo', 'kilo']"
resi entr. ltd,['resi entr. ltd']
wolver,"['wolver', 'oliver']"
famcilui,"['famcilui', 'famcilai', 'famecilia', 'fameili']"
best cholec,['best cholec']
sirop,"['sirop', 'sivop', 'siron']"
durbro,"['durbro', 'dubro']"
giladon,['giladon']
crocodile/ramg,"['crocodile/ramg', 'crocodile/yog', 'crocodile/ammark']"
so.hq,['so.hq']
bend,"['bend', 'bnd', 'ben', 'beyond', 'benmed']"
exogum,"['exogum', 'exo-gum']"
ranger 480 ec,['ranger 480 ec']
odwa,['odwa']
surgilink,['surgilink']
orijo,"['orijo', 'orion', 'morio']"
metalic,"['metalic', 'metallic', 'metal', 'megalick', 'betalick']"
co-tri,"['co-tri', 'c-tri']"
sharp shooter,['sharp shooter']
t.y.l/ram-g,['t.y.l/ram-g']
manjano,['manjano']
kiroko,"['kiroko', 'kioko', 'kisoko', 'kiriko', 'kiboko']"
cococols,"['cococols', 'cococola', 'coco cola']"
dcart(d&c),['dcart(d&c)']
vellma,"['vellma', 'vellmax', 'velma', 'vell max', 'velmax']"
jun*long,"['jun*long', 'jinlong']"
kabarnet,['kabarnet']
wood,['wood']
ruber,"['ruber', 'rubber', 'rubbers', 'rubee']"
cynmart,['cynmart']
ben,"['ben', 'benz', 'bens', 'bend', 'bean']"
sivoko,"['sivoko', 'soko']"
reticia,['reticia']
parvo,['parvo']
makuyu,['makuyu']
delush,"['delush', 'lush']"
m.s flat,['m.s flat']
walbro,"['walbro', 'abro']"
vrop,['vrop']
okuni ind &trade,['okuni ind &trade']
jumbo barbed wire,['jumbo barbed wire']
type c,"['type c', 'type r', 'type']"
mahogany,['mahogany']
allyons,"['allyons', 'alyons', 'ailyons', 'lyons']"
ox.,"['ox.', 'vox.', 'ox']"
clofen,['clofen']
rtt,"['rtt', 'tt', 'rt']"
group,"['group', 'grupo', 'grout']"
chan,"['chan', 'chain', 'cha', 'can', 'chania']"
plazo,['plazo']
raha.,"['raha.', 'raha']"
sfqz/top rich/proride,['sfqz/top rich/proride']
goodone,"['goodone', 'good one', 'goodson', 'goodsons']"
jieng fenshug,"['jieng fenshug', 'jieng fenshu', 'jieng fengshu', 'jieng fendshu', 'jieng fengushu']"
alligator m204 16,"['alligator m204 16', 'alligators m20416']"
kara,"['kara', 'karal', 'kar', 'kitara', 'karura']"
twinchef,['twinchef']
kaipai,"['kaipai', 'kapi', 'kapa']"
cupas,"['cupas', 'cups', 'kupas', 'cubas']"
travel charge,['travel charge']
l200/vannet,['l200/vannet']
topfly,"['topfly', 'toply']"
ngonyek,['ngonyek']
ketonex,"['ketonex', 'etone']"
miezhang,['miezhang']
obelis,['obelis']
equator,"['equator', 'equatorial']"
keafos,"['keafos', 'keafros', 'keapos']"
whitewash,"['whitewash', 'white wash', 'whute wash']"
toxipra,['toxipra']
broad way,"['broad way', 'broadway', 'broadways']"
sanitary towel,['sanitary towel']
rosah,"['rosah', 'rosh', 'trosa']"
jielahua,['jielahua']
zchez,"['zchez', 'zchemz', 'zchem']"
powormax,"['powormax', 'powermax', 'power max', 'powemax']"
curl,"['curl', 'crl']"
goldsung,['goldsung']
ng'ombelick,"[""ng'ombelick"", ""ng'ombemi""]"
bgn,"['bgn', 'gn', 'bn', 'bg']"
big yield,"['big yield', 'high yield', 'hi yield']"
yzpc,['yzpc']
ceiling,['ceiling']
kuppas,"['kuppas', 'kupas', 'kupa']"
fourent,"['fourent', 'orent']"
d.pole c-63,['d.pole c-63']
goshen's,"[""goshen's"", 'goshen']"
spraying,"['spraying', 'spring', 'springs', 'spring.']"
frash,"['frash', 'fresh']"
k.d.f.f,['k.d.f.f']
njonjen,"['njonjen', 'njonjem', 'njonjemi']"
lana,"['lana', 'alana', 'lenana', 'legana', 'lanrat']"
skyview,['skyview']
ddddaaappp,['ddddaaappp']
accu-check,['accu-check']
ace n/m,['ace n/m']
akwech,['akwech']
agritecno,"['agritecno', 'agritechno', 'agritecano', 'agri tecno', 'agri-techno']"
lincon,"['lincon', 'lincoln', 'linco', 'lincolin', 'lion']"
king's  choice feeds,"[""king's  choice feeds""]"
mavuno,"['mavuno', 'mavunol', 'marvuno', 'marvunol', 'mavuni']"
energy petroleum,"['energy petroleum', 'general petroleum']"
miika albertine,"['miika albertine', 'miika albertine seeds']"
pearl dairy farms,['pearl dairy farms']
boundaries cake,"['boundaries cake', 'bunda cake']"
triphos,"['triphos', 'agriphos', 'afriphos']"
hiyielderphos,"['hiyielderphos', 'hi-yielderphos', 'hi yielderphos', 'yielderphos', 'high yielderphos']"
pirinox,['pirinox']
si and dsl,['si and dsl']
nippon,['nippon']
redsun,"['redsun', 'red sun', 'predun', 'fredun', 'reds']"
kuresoi tea factory,['kuresoi tea factory']
dynapharmlab associates,"['dynapharmlab associates', 'dynapharmlab associate', 'dynapharmalab associate', 'dynapharm lab associate', 'dynapharm associates']"
al rehab,"['al rehab', 'al- rehab', 'alrehab', 'allrehabb']"
shandrack & sons,['shandrack & sons']
afyasure licks,"['afyasure licks', 'afya sure licks']"
demji menji ruiru,['demji menji ruiru']
fermers hub,"['fermers hub', 'farmers hub']"
dawa-flox,"['dawa-flox', 'dawaflox']"
bm150/sharp bulb,['bm150/sharp bulb']
falconhit ktd,"['falconhit ktd', 'falconheit ltd', 'falcomheit ltd']"
narl kawanda,['narl kawanda']
ningbo free,['ningbo free']
chaff c,['chaff c']
gorogoro,['gorogoro']
blis gvs,"['blis gvs', 'bliss gvs', 'blissgvs', 'blissgvs.']"
dr.reddys,"['dr.reddys', 'reddys']"
weihai,['weihai']
jodefa,['jodefa']
zheijaiang,"['zheijaiang', 'zheijiang', 'zheijaing', 'zhejiang', 'zheijing']"
linelix,"['linelix', 'nelix']"
booost,"['booost', 'boost']"
hirizon,"['hirizon', 'horizon']"
ndoshi,"['ndoshi', 'doshi', 'oshi', 'dosh']"
chachu,['chachu']
g/sbliss,['g/sbliss']
sotik uniforms centersso,"['sotik uniforms centersso', 'sotik uniforms centerso', 'sotik uniforms centers', 'sotik uniforms center', 'sotik uniforms centre']"
hydrolab,['hydrolab']
into gmp,['into gmp']
homing,"['homing', 'homling', 'hong']"
farmer's pride poultry,"[""farmer's pride poultry"", 'farmers pride ltd']"
ringoo,"['ringoo', 'ringo', 'ringoz', 'rigo']"
killphos,['killphos']
kilimanjaro biscuits,"['kilimanjaro biscuits', 'kilimanjaro biscuits ltd']"
winthrop,['winthrop']
probox big,['probox big']
iiikebeiii,"['iiikebeiii', 'iiikyebeiii']"
